config_item_id,ci_name,install_status,model_id_classification,company,department,owned_by,owned_by_company,owned_by_department,email
3387367572,b5lmzz325a7kss,Installed,Server,GE Digital,Digital Operations,"Abogi, Peter (866970851)",GE Digital,Digital Operations,peter.abogi@company.com
3395679084,zhu9mt0ohl8g3v,Installed,Server,GE Digital,Digital Risk Staff,"Abogi, Peter (866970851)",GE Digital,Digital Technology,peter.abogi@company.com
2288059956,o4n9aojzl99l0t,Installed,Server,GE Digital,Digital Risk Staff,"Abogi, Peter (866970851)",GE Digital,DIG Engineering,peter.abogi@company.com
8473299651,l5wc7l1kv3tkw4,Installed,Server,GE Digital,Digital Risk Staff,"Abogi, Peter (866970851)",GE Digital,DIG Engineering,peter.abogi@company.com
1140714256,rlkk6m6yvoxwyo,Installed,Server,GE Digital,Digital Risk Staff,"Abogi, Peter (866970851)",GE Digital,Digital Risk Staff,peter.abogi@company.com
3603881999,x6nsined9e9vgf,Installed,Server,GE Digital,Digital Risk Staff,"Abogi, Peter (866970851)",GE Digital,DIG Engineering,peter.abogi@company.com
1650678589,um0dkreu9ck3tb,Installed,Server,GE Digital,Digital Risk Staff,"Abogi, Peter (866970851)",GE Digital,Digital Technology,peter.abogi@company.com
1915349303,tefmgrs9xu8vgf,Installed,Server,GE Digital,Digital Technology,"Abogi, Peter (866970851)",GE Digital,DIG Engineering,peter.abogi@company.com
8119035435,bief24doom5aer,Installed,Server,GE Digital,Digital Technology,"Abogi, Peter (866970851)",GE Digital,DIG Engineering,peter.abogi@company.com
4480872302,w0mek6u7zxcvsm,Installed,Server,GE Digital,Digital Technology,"Abogi, Peter (866970851)",GE Digital,DIG Engineering,peter.abogi@company.com
1890156091,h92p6dg3hwg55c,Installed,Server,GE Digital,Digital Technology,"Abogi, Peter (866970851)",GE Digital,Digital Technology,peter.abogi@company.com
5465644792,vxbrghre0xvvbp,Installed,Server,GE Digital,Digital Technology,"Abogi, Peter (866970851)",GE Digital,DIG Engineering,peter.abogi@company.com
5068425212,me432h98wb2l5v,Installed,Server,GE Digital,Digital Risk Staff,Alita Lovato (323142546),GE Digital,Digital Quality,alita.lovato@company.com
2303212440,37aqio1jtw4jn6,Installed,Server,GE Digital,Digital Risk Staff,Alita Lovato (323142546),GE Digital,Digital Quality,alita.lovato@company.com
9252766292,9l20nauepfm0q2,Installed,Server,GE Digital,Digital Risk Staff,"Brewington, Michelle (170085587)",GE Digital,Digital Risk Staff,michelle.brewington@company.com
6449968796,6mkkb65ijanpax,Installed,Server,GE Digital,Digital Risk Staff,"Brewington, Michelle (170085587)",GE Digital,Digital Risk Staff,michelle.brewington@company.com
8754568822,jcyndlaj80hls2,Installed,Server,GE Digital,Digital Risk Staff,"Brewington, Michelle (170085587)",GE Digital,Digital Risk Staff,michelle.brewington@company.com
5204244627,u8obz3echhr1z2,Installed,Server,GE Digital,Digital Risk Staff,"Brewington, Michelle (170085587)",GE Digital,Digital Risk Staff,michelle.brewington@company.com
1562556077,kejejdevx5al7x,Installed,Server,GE Digital,Digital Risk Staff,"Brewington, Michelle (170085587)",GE Digital,Digital Risk Staff,michelle.brewington@company.com
1002203748,s3r2k8ti4oanzu,Installed,Server,GE Digital,Digital Risk Staff,"Ejerenwa, Mirian (145159799)",GE Digital,Digital Operations,mirian.ejerenwa@company.com
5350600946,s0c0p6r6mrsn5e,Installed,Server,GE Digital,Digital Risk Staff,"Ejerenwa, Mirian (145159799)",GE Digital,Digital Operations,mirian.ejerenwa@company.com
5642580557,rcdnkkyw0i9cyi,Installed,Server,GE Digital,Digital Risk Staff,"Ejerenwa, Mirian (145159799)",GE Digital,Digital Operations,mirian.ejerenwa@company.com
3207429973,toxpl7pa8q6181,Installed,Server,GE Digital,Digital Risk Staff,"Ejerenwa, Mirian (145159799)",GE Digital,Digital Risk Staff,mirian.ejerenwa@company.com
8809604791,hdkxwc1zs6cz04,Installed,Server,GE Digital,Digital Risk Staff,"Ejerenwa, Mirian (145159799)",GE Digital,DIG Engineering,mirian.ejerenwa@company.com
3930277869,nua549pcnasbxk,Installed,Server,GE Digital,Digital Technology,"Ejerenwa, Mirian (145159799)",GE Digital,DIG Engineering,mirian.ejerenwa@company.com
2034818133,tt3bd3egd1ebme,Installed,Server,GE Digital,Digital Technology,"Ejerenwa, Mirian (145159799)",GE Digital,DIG Engineering,mirian.ejerenwa@company.com
2353098168,0hbsc5c2s1r0y9,Installed,Server,GE Digital,Digital Technology,"Ejerenwa, Mirian (145159799)",GE Digital,DIG Engineering,mirian.ejerenwa@company.com
6059236586,tjkf6aufd7fhfg,Installed,Server,GE Digital,Digital Technology,"Ejerenwa, Mirian (145159799)",GE Digital,DIG Engineering,mirian.ejerenwa@company.com
5085048738,poe7vsr2mfqjex,Installed,Server,GE Digital,Digital Technology,"Ejerenwa, Mirian (145159799)",GE Digital,DIG Engineering,mirian.ejerenwa@company.com
7976482055,a8ksi0n3mopbr3,Installed,Server,GE Digital,Digital Technology,"Ejerenwa, Mirian (145159799)",GE Digital,DIG Engineering,mirian.ejerenwa@company.com
2245675455,c8i62es2t7hb8e,Installed,Server,GE Digital,Digital Technology,"Ejerenwa, Mirian (145159799)",GE Digital,Digital Technology,mirian.ejerenwa@company.com
2560634617,4pdc2ovsxtqfz7,Installed,Server,GE Digital,Digital Technology,"Ejerenwa, Mirian (145159799)",GE Digital,DIG Engineering,mirian.ejerenwa@company.com
